#time,accel_x,accel_y,accel_z
4166.209948,962.267725,-8503.660028,-1332.370696
4166.210273,518.144159,-9269.755526,-814.226536
4166.210597,-444.123565,-8886.707777,-1036.288319
4166.210922,-1480.411884,-9882.631924,-1184.329507
4166.211246,-1924.535449,-9193.145976,-1184.329507
4166.211570,-2146.597232,-9422.974625,-962.267725
4166.211895,-2368.659014,-9269.755526,-1554.432478
4166.212219,-2072.576638,-9422.974625,-740.205942
4166.212543,-1332.370696,-8810.098227,-1036.288319
4166.212868,-1554.432478,-8886.707777,-814.226536
4166.213192,-1480.411884,-8656.879127,-666.185348
4166.213517,-1184.329507,-9039.926876,-814.226536
4166.213841,-888.247130,-9269.755526,-518.144159
4166.214165,-2368.659014,-9729.412825,-518.144159
4166.214490,-2146.597232,-9882.631924,-962.267725
4166.214814,-3256.906145,-9806.022374,-296.082377
4166.215139,-4293.194464,-9422.974625,-518.144159
4166.215463,-3923.091493,-9729.412825,0.000000
4166.215787,-3108.864956,-9346.365076,-444.123565
4166.216112,-3478.967927,-8963.317327,-148.041188
4166.216436,-2590.720797,-7814.174080,-370.102971
4166.216761,-2368.659014,-8120.612279,-148.041188
4166.217085,-2146.597232,-8197.221829,-222.061783
4166.217409,-2146.597232,-7890.783629,-444.123565
4166.217734,-3478.967927,-7660.954980,-370.102971
4166.218058,-3849.070898,-8427.050478,0.000000
4166.218383,-3849.070898,-8273.831378,0.000000
4166.218707,-4293.194464,-8886.707777,0.000000
4166.219031,-4145.153275,-8427.050478,370.102971
4166.219356,-3627.009116,-8273.831378,0.000000
4166.219680,-3330.926739,-8273.831378,296.082377
4166.220005,-2738.761985,-7890.783629,370.102971
4166.220329,-2368.659014,-7890.783629,444.123565
4166.220653,-1998.556043,-7431.126331,222.061783
4166.220978,-1702.473667,-7737.564530,370.102971
4166.221302,-1406.391290,-7814.174080,518.144159
4166.221626,-1924.535449,-7967.393179,296.082377
4166.221950,-2072.576638,-8350.440928,740.205942
4166.222275,-2738.761985,-8503.660028,0.000000
4166.222599,-2812.782580,-8656.879127,814.226536
4166.222923,-2590.720797,-8580.269578,0.000000
4166.223247,-2220.617826,-9193.145976,518.144159
4166.223572,-2146.597232,-8580.269578,0.000000
4166.223896,-2220.617826,-9116.536426,296.082377
4166.224220,-1776.494261,-8044.002729,148.041188
4166.224545,-1036.288319,-8350.440928,0.000000
4166.224869,222.061783,-8044.002729,-222.061783
4166.225193,-148.041188,-7507.735880,74.020594
4166.225517,0.000000,-7967.393179,-148.041188
4166.225842,0.000000,-8580.269578,-740.205942
4166.226166,-148.041188,-8427.050478,-222.061783
4166.226490,-592.164754,-8733.488677,-1036.288319
4166.226814,-370.102971,-9422.974625,-888.247130
4166.227139,-888.247130,-8733.488677,-1184.329507
4166.227463,-370.102971,-9422.974625,-666.185348
4166.227787,-296.082377,-8273.831378,-1184.329507
4166.228112,-592.164754,-8733.488677,-1184.329507
4166.228436,-148.041188,-8197.221829,-1332.370696
4166.228760,592.164754,-8044.002729,-962.267725
4166.229084,74.020594,-8120.612279,-1924.535449
4166.229409,0.000000,-8427.050478,-1406.391290
4166.229733,-370.102971,-8044.002729,-1628.453072
4166.230057,-814.226536,-9193.145976,-1406.391290
4166.230381,-962.267725,-8427.050478,-1184.329507
4166.230706,-888.247130,-9652.803275,-962.267725
4166.231030,-1258.350101,-9193.145976,-1332.370696
4166.231354,-370.102971,-9729.412825,-1036.288319
4166.231679,-444.123565,-9422.974625,-1554.432478
4166.232003,-370.102971,-9116.536426,-1184.329507
4166.232327,-592.164754,-8886.707777,-962.267725
4166.232651,-666.185348,-9269.755526,-1110.308913
4166.232976,-962.267725,-8886.707777,-1110.308913
4166.233300,-1184.329507,-8963.317327,-1036.288319
4166.233624,-1406.391290,-9269.755526,-888.247130
4166.233949,-1554.432478,-9193.145976,-666.185348
4166.234273,-1184.329507,-8886.707777,-888.247130
4166.234597,370.102971,-9499.584175,0.000000
4166.234921,-1332.370696,-8810.098227,-1036.288319
4166.235246,1184.329507,-10418.898773,222.061783
4166.235570,-222.061783,-7814.174080,-666.185348
4166.235894,-962.267725,-10342.289223,740.205942
4166.236218,-1406.391290,-7890.783629,-1036.288319
4166.236543,-3404.947333,-9576.193725,370.102971
4166.236867,-4071.132681,-8273.831378,148.041188
4166.237191,-4811.338623,-8273.831378,-148.041188
4166.237516,-5699.585753,-8273.831378,222.061783
4166.237840,-6143.709319,-7584.345430,370.102971
4166.238164,-5107.421000,-7277.907231,666.185348
4166.238488,-4071.132681,-8427.050478,0.000000
4166.238813,-2220.617826,-8273.831378,888.247130
4166.239137,-1702.473667,-7814.174080,888.247130
4166.239461,-1554.432478,-8197.221829,592.164754
4166.239785,-1110.308913,-8350.440928,444.123565
4166.240110,-444.123565,-8656.879127,1184.329507
4166.240434,-1702.473667,-8350.440928,518.144159
4166.240758,-2072.576638,-8503.660028,518.144159
4166.241083,-3330.926739,-8273.831378,666.185348
4166.241407,-2738.761985,-8503.660028,296.082377
4166.241731,-1702.473667,-8733.488677,296.082377
4166.242055,-2738.761985,-8503.660028,74.020594
4166.242380,-2368.659014,-7814.174080,0.000000
4166.242704,-1628.453072,-7584.345430,-148.041188
4166.243028,-888.247130,-8656.879127,0.000000
4166.243352,0.000000,-7660.954980,370.102971
4166.243677,444.123565,-8273.831378,370.102971
4166.244001,814.226536,-8733.488677,148.041188
4166.244325,-296.082377,-8886.707777,0.000000
4166.244650,222.061783,-9269.755526,-444.123565
4166.244974,-814.226536,-9039.926876,-444.123565
4166.245298,-1480.411884,-8886.707777,0.000000
4166.245622,-1554.432478,-8580.269578,-814.226536
4166.245947,-1258.350101,-9346.365076,-592.164754
4166.246271,-1184.329507,-8273.831378,-592.164754
4166.246595,-1258.350101,-8503.660028,-888.247130
4166.246919,-1480.411884,-8733.488677,-1480.411884
4166.247244,-2220.617826,-8656.879127,-1850.514855
4166.247568,-3108.864956,-8886.707777,-1480.411884
4166.247892,-3775.050304,-9193.145976,-1554.432478
4166.248217,-3108.864956,-9039.926876,-2146.597232
4166.248541,-2960.823768,-8656.879127,-1110.308913
4166.248865,-962.267725,-8427.050478,-1776.494261
4166.249189,518.144159,-8503.660028,-1702.473667
4166.249514,2294.638420,-8810.098227,-814.226536
4166.249838,3404.947333,-8197.221829,-1628.453072
4166.250162,3627.009116,-8197.221829,-1036.288319
4166.250486,3923.091493,-8733.488677,-1776.494261
4166.250811,2294.638420,-9269.755526,-1480.411884
4166.251135,-888.247130,-9193.145976,-1332.370696
4166.251459,-3330.926739,-9346.365076,-1702.473667
4166.251784,-4663.297435,-9499.584175,-1776.494261
4166.252108,-4737.318029,-9116.536426,-1628.453072
4166.252432,-4219.173869,-9346.365076,-1702.473667
4166.252756,-2368.659014,-8580.269578,-1628.453072
4166.253081,222.061783,-7890.783629,-888.247130
4166.253405,3182.885551,-8810.098227,-1110.308913
4166.253729,4071.132681,-9039.926876,-444.123565
4166.254053,4441.235652,-8810.098227,-222.061783
4166.254378,3404.947333,-8963.317327,222.061783
4166.254702,222.061783,-9346.365076,-296.082377
4166.255026,-3923.091493,-11108.384721,-370.102971
4166.255351,-7846.182985,-10342.289223,0.000000
4166.255675,-10510.924376,-9422.974625,0.000000
4166.255999,-11547.212695,-9346.365076,148.041188
4166.256323,-11177.109724,-6741.640382,-222.061783
4166.256648,-6809.894666,-7507.735880,592.164754
4166.256972,-1480.411884,-6205.373534,-296.082377
4166.257296,3627.009116,-6128.763984,962.267725
4166.257620,8290.306550,-6128.763984,148.041188
4166.257945,8808.450710,-8733.488677,1480.411884
4166.258269,7698.141797,-8197.221829,444.123565
4166.258593,4441.235652,-9806.022374,814.226536
4166.258918,-1036.288319,-9959.241474,1258.350101
4166.259242,-5551.544565,-10035.851024,740.205942
4166.259566,-7698.141797,-9959.241474,888.247130
4166.259890,-10214.842000,-8580.269578,1184.329507
4166.260215,-9474.636058,-7354.516781,74.020594
4166.260539,-3923.091493,-7048.078582,518.144159
4166.260863,2590.720797,-4979.620737,-222.061783
4166.261187,7550.100608,-5745.716235,444.123565
4166.261512,12953.603985,-6665.030833,0.000000
4166.261836,12509.480420,-7048.078582,1258.350101
4166.262160,9696.697840,-8273.831378,888.247130
4166.262485,5551.544565,-9346.365076,1036.288319
4166.262809,-296.082377,-10495.508323,222.061783
4166.263133,-6587.832884,-11491.432470,814.226536
4166.263457,-11251.130318,-11568.042020,296.082377
4166.263782,-12361.439231,-10725.336972,-814.226536
4166.264106,-10362.883188,-8656.879127,-148.041188
4166.264430,-4293.194464,-7354.516781,-814.226536
4166.264755,2146.597232,-6205.373534,-888.247130
4166.265079,7031.956449,-6128.763984,-1036.288319
4166.265403,10881.027347,-6741.640382,-518.144159
4166.265727,11325.150913,-7277.907231,-518.144159
4166.266052,9474.636058,-8656.879127,0.000000
4166.266376,6587.832884,-9499.584175,-666.185348
4166.266700,888.247130,-11261.603821,-296.082377
4166.267024,-3552.988522,-11031.775171,-1184.329507
4166.267349,-7179.997637,-11568.042020,-1332.370696
4166.267673,-5329.482782,-9729.412825,-1554.432478
4166.267997,-1110.308913,-9422.974625,-2368.659014
4166.268322,1850.514855,-7277.907231,-2812.782580
4166.268646,5329.482782,-7431.126331,-1628.453072
4166.268970,8438.347739,-7584.345430,-1332.370696
4166.269294,8512.368333,-6818.249932,-1776.494261
