#time,accel_x,accel_y,accel_z
317.677550,518.144159,-8580.269578,-592.164754
317.677875,666.185348,-8350.440928,-296.082377
317.678199,518.144159,-8580.269578,-444.123565
317.678523,518.144159,-8886.707777,-592.164754
317.678847,148.041188,-8120.612279,-666.185348
317.679171,444.123565,-8886.707777,-444.123565
317.679495,444.123565,-8273.831378,-592.164754
317.679820,444.123565,-9039.926876,-370.102971
317.680144,148.041188,-8120.612279,-740.205942
317.680468,740.205942,-8810.098227,-296.082377
317.680792,518.144159,-8350.440928,-740.205942
317.681116,592.164754,-8886.707777,-296.082377
317.681440,0.000000,-8197.221829,-518.144159
317.681764,518.144159,-9116.536426,-296.082377
317.682089,740.205942,-8503.660028,-814.226536
317.682413,518.144159,-8886.707777,-296.082377
317.682737,518.144159,-8503.660028,-962.267725
317.683061,592.164754,-8733.488677,-444.123565
317.683385,296.082377,-8427.050478,-592.164754
317.683709,222.061783,-8503.660028,-148.041188
317.684033,370.102971,-8580.269578,-518.144159
317.684358,444.123565,-8656.879127,-444.123565
317.684682,592.164754,-8810.098227,-740.205942
317.685006,0.000000,-8120.612279,0.000000
317.685330,74.020594,-8963.317327,-296.082377
317.685654,222.061783,-8503.660028,-666.185348
317.685978,518.144159,-9116.536426,-444.123565
317.686303,518.144159,-8580.269578,-518.144159
317.686627,518.144159,-8656.879127,-222.061783
317.686951,370.102971,-8427.050478,-518.144159
317.687275,518.144159,-8886.707777,-592.164754
317.687599,592.164754,-8503.660028,-666.185348
317.687923,0.000000,-8350.440928,-222.061783
317.688247,370.102971,-8427.050478,-296.082377
317.688572,296.082377,-8886.707777,-592.164754
317.688896,444.123565,-8503.660028,-370.102971
317.689220,74.020594,-8350.440928,0.000000
317.689544,518.144159,-8656.879127,-370.102971
317.689868,592.164754,-8810.098227,-370.102971
317.690192,444.123565,-8503.660028,-444.123565
317.690516,518.144159,-8810.098227,-740.205942
317.690841,592.164754,-8580.269578,-370.102971
317.691165,518.144159,-8810.098227,-666.185348
317.691489,296.082377,-8427.050478,-518.144159
317.691813,444.123565,-8810.098227,-592.164754
317.692137,370.102971,-8963.317327,-370.102971
317.692461,370.102971,-8886.707777,-518.144159
317.692785,444.123565,-8503.660028,-740.205942
317.693110,296.082377,-8886.707777,-518.144159
317.693434,592.164754,-8120.612279,-370.102971
317.693758,296.082377,-8733.488677,-518.144159
317.694082,370.102971,-8580.269578,-888.247130
317.694406,0.000000,-8733.488677,-518.144159
317.694730,444.123565,-8580.269578,-666.185348
317.695055,518.144159,-8733.488677,-666.185348
317.695379,148.041188,-8580.269578,-666.185348
317.695703,296.082377,-9039.926876,-444.123565
317.696027,222.061783,-8503.660028,-518.144159
317.696351,296.082377,-8427.050478,0.000000
317.696675,518.144159,-8350.440928,-592.164754
